sku,weight,Turnaround,Category,Orientation,2,3,4,5,1
graphicdesign_df1e44694a4523c558a5e11d894be57f,null, 2-3 days,Bookmarks, 2 Side-Full color,118,177,236,295,59
graphicdesign_b57253bcfe8deac97154a810f319a24f,null, 2-3 days,Brochures, 2 Side-Full color,538,807,1076,1345,269
graphicdesign_b6fe5aa022911dc2bdd379a5457cf47c,null, 2-3 days,Business Cards, 2 Side-Full color,118,177,236,295,59
graphicdesign_1724f68915d0a7f0c8f924ad33f5a321,null, 2-3 days,CD Inserts, 1 Side-Full color,198,297,396,495,99
graphicdesign_e2d46bf0e415b27fb4a7288b07179b66,null, 2-3 days,Door Hangers, 2 Side-Full color,298,447,596,745,149
graphicdesign_655655adcdebc73fb220daf02e0e5491,null, 2-3 days,DVD Inserts, 1 Side- Full color,198,297,396,495,99
graphicdesign_5710586261a017899a863afe453d5f0c,null, 2-3 days,Envelopes 1 Color, 1 Side- Single color,138,207,276,345,69
graphicdesign_323f35441c1842c9bd72f8a2d99bb55a,null, 2-3 days,Envelopes 4 Colors, 1 Side- Full color,178,267,356,445,89
graphicdesign_d20ff91aa7c8b9e35e49c97106a617c2,null, 2-3 days,Flyers, 2 Side-Full color,398,597,796,995,199
graphicdesign_41b5719672dc0ff03f85c245d1b00ffa,null, 2-3 days,Greeting Cards, 2 Side-Full color,198,297,396,495,99
graphicdesign_b274ba51b2e44fdbce8356b2fdf28d1e,null, 2-3 days,Head Shots, 1 Side-Full color,158,237,316,395,79
graphicdesign_1d8908e7e507aa52ccf8d9c90f1e8e25,null, 2-3 days,Labels, 1 Side-Full color,198,297,396,495,99
graphicdesign_c92a8c4a85a8845e0508f56403e15a81,null, 2-3 days,Letterheads, 1 Side-Full color,178,267,356,445,89
graphicdesign_fb53cc5c8c45cda2d6f2a7299d9cc5d1,null, 2-3 days,Postcards, 2 Side-Full color,198,297,396,495,99
graphicdesign_491c425129bf8a5b5786b2cf8aa8584e,null, 2-3 days,Posters,1 Side-Full color,398,597,796,995,199
graphicdesign_986587b39c257664e4edeb4244f8bee5,null, 2-3 days,Presentation Folders, 2 Side-Full color,598,897,1196,1495,299
graphicdesign_6e4c9b05fbda39c96466ba2469182abd,null, 2-3 days,Rack Cards, 2 Side-Full color,178,267,356,445,89
graphicdesign_bb016eaf5cc3d31259caa7739021c5ca,null, 2-3 days,Sell Sheets, 1 Side-Full color,198,297,396,495,99
